UT,Brand,FillingStart,FillingEnd,ConnStart,ConnEnd
13,Amstel Utra,12/4/2022 11:43,12/4/2022 22:05,13/4/2022 13:00,17/4/2022 11:00
13,Carta Blanca,17/1/2022 15:49,18/1/2022 00:59,18/1/2022 19:00,22/1/2022 09:00
13,Carta Blanca,21/3/2022 06:21,21/3/2022 15:47,22/3/2022 17:00,26/3/2022 02:34
13,Carta Blanca,22/4/2022 04:32,,23/4/2022 05:12,28/4/2022 06:00
13,Carta Blanca,27/5/2022 07:50,27/5/2022 16:05,28/5/2022 07:00,1/6/2022 05:36
13,Carta Blanca,20/8/2022 17:44,21/8/2022 02:25,21/8/2022 18:35,26/8/2022 17:36
13,Carta Blanca,30/11/2022 01:38,30/11/2022 20:37,1/12/2022 08:00,6/12/2022 18:00
13,Carta Blanca,2/5/2023 15:17,2/5/2023 23:39,3/5/2023 22:45,8/5/2023 05:00
13,Coors Light,3/5/2022 20:22,5/5/2022 04:01,5/5/2022 10:00,10/5/2022 03:00
13,Coors Light,2/10/2022 15:01,4/10/2022 03:00,4/10/2022 15:00,9/10/2022 17:00
13,Coors Light,30/1/2023 12:27,31/1/2023 22:34,1/2/2023 11:00,6/2/2023 06:00
13,Miller,16/2/2022 19:47,17/2/2022 13:28,18/2/2022 00:50,22/2/2022 04:00
13,Miller,1/4/2022 23:34,2/4/2022 07:53,2/4/2022 23:00,6/4/2022 18:34
13,Miller,3/4/2023 00:33,3/4/2023 13:29,4/4/2023 00:30,6/4/2023 12:00
13,Miller,17/6/2023 06:01,17/6/2023 12:50,18/6/2023 03:50,22/6/2023 06:00
13,Sol,6/6/2022 00:54,6/6/2022 10:03,7/6/2022 08:30,10/6/2022 18:00
13,Sol,26/6/2022 09:11,26/6/2022 19:11,27/6/2022 22:00,2/7/2022 05:35
13,Sol,14/10/2022 02:51,14/10/2022 10:30,15/10/2022 04:30,20/10/2022 04:00
13,Sol,6/1/2023 01:34,6/1/2023 14:05,1/7/2023 05:00,11/1/2023 09:51
13,Sol,14/2/2023 03:29,15/2/2023 17:18,15/2/2023 06:00,19/2/2023 18:30
13,Sol,14/5/2023 10:28,14/5/2023 18:00,15/5/2023 12:00,19/5/2023 05:00
13,Tecate,16/6/2022 00:18,16/6/2022 10:44,17/6/2022 08:00,20/6/2022 16:00
13,Tecate,6/7/2022 18:50,7/7/2022 04:21,7/7/2022 14:00,11/7/2022 18:00
13,Tecate,18/7/2022 00:26,18/7/2022 12:48,19/7/2022 03:40,23/7/2022 16:00
13,Tecate,30/7/2022 08:17,30/7/2022 13:07,31/7/2022 01:00,4/8/2022 21:30
13,Tecate,24/10/2022 05:30,24/10/2022 11:49,25/10/2022 07:00,28/10/2022 18:15
13,Tecate,4/6/2023 16:19,5/6/2023 01:41,5/6/2023 12:00,10/6/2023 04:21
13,Tecate Light,6/1/2022 12:33,6/1/2022 22:29,8/1/2022 00:30,12/1/2022 02:00
13,Tecate Light,4/2/2022 13:39,4/2/2022 22:00,4/2/2022 18:00,10/2/2022 01:26
13,Tecate Light,27/2/2022 09:42,27/2/2022 19:07,28/2/2022 10:00,4/3/2022 09:00
13,Tecate Light,9/3/2022 10:15,9/3/2022 17:43,10/3/2022 09:00,14/3/2022 12:00
13,Tecate Light,16/5/2022 18:04,17/5/2022 00:53,17/5/2022 21:00,22/5/2022 05:50
13,Tecate Light,10/8/2022 14:58,10/8/2022 22:07,11/8/2022 13:30,15/8/2022 19:00
13,Tecate Light,30/8/2022 00:16,30/8/2022 06:50,31/8/2022 04:15,4/9/2022 06:51
13,Tecate Light,10/9/2022 06:33,10/9/2022 13:52,11/9/2022 05:00,15/9/2022 03:59
13,Tecate Light,21/9/2022 04:12,21/9/2022 09:40,22/9/2022 02:10,27/9/2022 01:35
13,Tecate Light,3/11/2022 07:49,3/11/2022 23:26,4/11/2022 10:00,8/11/2022 08:00
13,Tecate Light,13/11/2022 21:32,14/11/2022 06:22,15/11/2022 08:00,20/11/2022 05:00
13,Tecate Light,10/12/2022 19:07,11/12/2022 01:23,11/12/2022 10:00,17/12/2022 05:00
13,Tecate Light,22/12/2022 09:13,22/12/2022 15:30,23/12/2022 13:00,28/12/2022 05:00
13,Tecate Light,17/1/2023 08:49,17/1/2023 20:49,18/1/2023 14:15,22/1/2023 05:00
13,Tecate Light,25/2/2023 18:41,26/2/2023 02:15,26/2/2023 20:08,3/3/2023 12:00
