,datetime(yyyy-mm-dd hh),co2_flow(l),Amstel_Utra_tot_volume(l),Amstel_Utra_age_volume(days*l),Carta_Blanca_tot_volume(l),Carta_Blanca_age_volume(days*l),Coors_Light_tot_volume(l),Coors_Light_age_volume(days*l),Miller_tot_volume(l),Miller_age_volume(days*l),Sol_tot_volume(l),Sol_age_volume(days*l),Tecate_tot_volume(l),Tecate_age_volume(days*l),Tecate_Light_tot_volume(l),Tecate_Light_age_volume(days*l),RIZZOS_tot_volume(l),RIZZOS_age_volume(days*l),Bohemia_tot_volume(l),Bohemia_age_volume(days*l),Noche_Buena_tot_volume(l),Noche_Buena_age_volume(days*l)
0,2022-08-08 15,183053.59350585938,0.0,0.0,13600.0,861900.0,8900.0,15070.833333333334,0.0,0.0,27200.0,866150.0,6800.0,16150.0,28100.0,774545.8333333333,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-08-08 16,279509.8664550781,0.0,0.0,13600.0,862466.6666666667,8900.0,15441.666666666666,0.0,0.0,27200.0,867283.3333333334,6800.0,16433.333333333332,28100.0,775716.6666666667,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-08-08 17,259217.5430908203,0.0,0.0,13600.0,863033.3333333333,8900.0,15812.5,0.0,0.0,27200.0,868416.6666666666,6800.0,16716.666666666668,28100.0,776887.5,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-08-08 18,281356.28515625,0.0,0.0,13600.0,863600.0,8900.0,16183.333333333334,0.0,0.0,27200.0,869550.0,6800.0,17000.0,28100.0,778058.3333333333,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-08-08 19,288459.9089355469,0.0,0.0,13600.0,864166.6666666667,8900.0,16554.166666666664,0.0,0.0,27200.0,870683.3333333334,6800.0,17283.333333333332,28100.0,779229.1666666667,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-08-08 20,249087.271484375,0.0,0.0,13600.0,864733.3333333333,8900.0,16925.0,0.0,0.0,27200.0,871816.6666666666,13600.0,17850.0,28100.0,780400.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2022-08-08 21,321002.23278808594,0.0,0.0,13600.0,865300.0,8900.0,17295.833333333332,0.0,0.0,27200.0,872950.0,13600.0,18416.666666666668,28100.0,781570.8333333333,0.0,0.0,0.0,0.0,0.0,0.0
7,2022-08-08 22,263659.591796875,0.0,0.0,13600.0,865866.6666666667,8900.0,17666.666666666668,0.0,0.0,27200.0,874083.3333333334,13600.0,18983.333333333332,28100.0,782741.6666666667,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-08-08 23,275833.3175048828,4100.0,170.83333333333331,13600.0,866433.3333333333,8900.0,18037.5,0.0,0.0,27200.0,875216.6666666666,13600.0,19550.0,28100.0,783912.5,0.0,0.0,0.0,0.0,0.0,0.0
9,2022-08-09 00,299152.6872558594,4100.0,341.66666666666663,13600.0,867000.0,8900.0,18408.333333333332,0.0,0.0,27200.0,876350.0,13600.0,20116.666666666668,28100.0,785083.3333333333,0.0,0.0,0.0,0.0,0.0,0.0
