,date(dd/mm/yyyy),date(yyyy-mm-dd),co2_flow(l),Amstel_Utra_prop_volume(l),Amstel_Utra_prop_age(minutes),Carta_Blanca_prop_volume(l),Carta_Blanca_prop_age(minutes),Coors_Light_prop_volume(l),Coors_Light_prop_age(minutes),Miller_prop_volume(l),Miller_prop_age(minutes),Sol_prop_volume(l),Sol_prop_age(minutes),Tecate_prop_volume(l),Tecate_prop_age(minutes),Tecate_Light_prop_volume(l),Tecate_Light_prop_age(minutes),RIZZOS_prop_volume(l),RIZZOS_prop_age(minutes),Bohemia_prop_volume(l),Bohemia_prop_age(minutes),Noche_Buena_prop_volume(l),Noche_Buena_prop_age(minutes)
0,02/08/2022 ,2022-08-02,129747.00338403456,0.0,0.0,6800.0,1726.0,0.0,0.0,6800.0,1862.0,13600.0,3083.0,6800.0,1433.0,12700.0,-84574.0,0.0,0.0,0.0,0.0,0.0,0.0
1,03/08/2022 ,2022-08-03,130395.31689309455,0.0,0.0,6800.0,1726.0,0.0,0.0,6800.0,1862.0,13600.0,3083.0,6800.0,1433.0,12700.0,-84574.0,0.0,0.0,0.0,0.0,0.0,0.0
2,04/08/2022 ,2022-08-04,129962.13134387924,0.0,0.0,8500.0,1209.0,0.0,0.0,6800.0,1862.0,13600.0,3083.0,6091.666666666667,1358.0,12700.0,-84574.0,0.0,0.0,0.0,0.0,0.0,0.0
3,05/08/2022 ,2022-08-05,130724.68592029813,0.0,0.0,13600.0,1749.0,0.0,0.0,0.0,0.0,18983.333333333332,4300.0,0.0,0.0,12700.0,-84574.0,0.0,0.0,0.0,0.0,0.0,0.0
4,06/08/2022 ,2022-08-06,130556.29434382601,0.0,0.0,13600.0,1749.0,991.6666666666667,120.0,0.0,0.0,18133.333333333332,4210.0,4958.333333333333,946.0,12700.0,-84574.0,0.0,0.0,0.0,0.0,0.0,0.0
5,07/08/2022 ,2022-08-07,130053.9125192948,0.0,0.0,13600.0,1749.0,8345.833333333334,1585.0,0.0,0.0,17000.0,3764.0,6800.0,1141.0,19030.555555555555,-82815.0,0.0,0.0,0.0,0.0,0.0,0.0
6,08/08/2022 ,2022-08-08,129386.92325371224,341.66666666666663,717.0,13600.0,1749.0,8900.0,1775.0,0.0,0.0,25830.555555555555,5868.0,8216.666666666666,2357.0,25975.0,-81605.0,0.0,0.0,0.0,0.0,0.0,0.0
7,09/08/2022 ,2022-08-09,130031.15319184976,4100.0,1377.0,13600.0,1749.0,8900.0,1775.0,5383.333333333333,1191.0,25122.222222222223,5793.0,13600.0,2927.0,28100.0,-81380.0,0.0,0.0,0.0,0.0,0.0,0.0
8,10/08/2022 ,2022-08-10,130726.55903931838,4100.0,1377.0,7933.333333333333,1149.0,8900.0,1775.0,6800.0,1341.0,20400.0,4646.0,13600.0,2927.0,34706.38888888889,-76252.5,0.0,0.0,0.0,0.0,3762.5,4161.0
9,11/08/2022 ,2022-08-11,130240.01902757814,4100.0,1377.0,6800.0,1726.0,7010.0,1127.0,6800.0,1341.0,19748.333333333332,4577.0,7805.833333333333,2313.5,56669.444444444445,-69217.0,0.0,0.0,0.0,0.0,4200.0,4311.0
