,date(yyyy-mm-dd),co2_flow(l),Amstel_Utra_prop_volume(l),Amstel_Utra_prop_age(minutes),Carta_Blanca_prop_volume(l),Carta_Blanca_prop_age(minutes),Coors_Light_prop_volume(l),Coors_Light_prop_age(minutes),Miller_prop_volume(l),Miller_prop_age(minutes),Sol_prop_volume(l),Sol_prop_age(minutes),Tecate_prop_volume(l),Tecate_prop_age(minutes),Tecate_Light_prop_volume(l),Tecate_Light_prop_age(minutes),RIZZOS_prop_volume(l),RIZZOS_prop_age(minutes),Bohemia_prop_volume(l),Bohemia_prop_age(minutes),Noche_Buena_prop_volume(l),Noche_Buena_prop_age(minutes)
0,2022-08-08 ,2401179.6107177734,341.66666666666663,717.0,13600.0,1749.0,8900.0,1775.0,0.0,0.0,25830.555555555555,5868.0,8216.666666666666,2357.0,25975.0,-81605.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-08-09 ,7979078.87890625,4100.0,1377.0,13600.0,1749.0,8900.0,1775.0,5383.333333333333,1191.0,25122.222222222223,5793.0,13600.0,2927.0,28100.0,-81380.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-08-10 ,3773108.303100586,4100.0,1377.0,7933.333333333333,1149.0,8900.0,1775.0,6800.0,1341.0,20400.0,4646.0,13600.0,2927.0,34706.38888888889,-76252.5,0.0,0.0,0.0,0.0,3762.5,4161.0
3,2022-08-11 ,7702250.457275391,4100.0,1377.0,6800.0,1726.0,7010.0,1127.0,6800.0,1341.0,19748.333333333332,4577.0,7805.833333333333,2313.5,56669.444444444445,-69217.0,0.0,0.0,0.0,0.0,4200.0,4311.0
4,2022-08-12 ,9338060.014160156,4783.333333333333,2964.0,11333.333333333332,3642.0,141.66666666666666,30.0,6800.0,1341.0,7593.333333333333,2696.0,10625.0,3276.0,68900.0,-67922.0,0.0,0.0,0.0,0.0,4200.0,4311.0
5,2022-08-13 ,9273146.56616211,8200.0,3564.0,13600.0,3882.0,0.0,0.0,6800.0,1341.0,9066.666666666666,2410.0,7933.333333333333,2991.0,75954.16666666667,-65547.0,0.0,0.0,0.0,0.0,4200.0,4311.0
6,2022-08-14 ,9398329.988769531,7146.527777777777,3379.0,18416.666666666668,5471.0,0.0,0.0,1133.3333333333333,741.0,13600.0,2890.0,6800.0,1805.0,79300.0,-65817.0,0.0,0.0,0.0,0.0,3120.8333333333335,3941.0
7,2022-08-15 ,9832008.995605469,4100.0,2187.0,20400.0,5681.0,0.0,0.0,1808.3333333333335,90594.0,14025.0,3917.0,6800.0,1805.0,72044.72222222222,-64728.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-08-16 ,8777458.417236328,512.5,1557.0,14549.166666666666,5061.5,0.0,0.0,2100.0,90694.0,20400.0,4592.0,4816.666666666667,1595.0,58816.666666666664,-72534.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2022-08-17 ,7815552.90612793,0.0,0.0,7824.722222222223,2913.5,0.0,0.0,962.5,90304.0,17566.666666666668,4292.0,0.0,0.0,67805.55555555556,-71415.5,0.0,0.0,0.0,0.0,0.0,0.0
10,2022-08-18 ,4736535.692016602,0.0,0.0,6800.0,1726.0,0.0,0.0,0.0,0.0,13600.0,3145.0,0.0,0.0,62983.33333333333,-70832.5,0.0,0.0,0.0,0.0,0.0,0.0
11,2022-08-19 ,6605001.46472168,768.75,1336.0,8358.333333333334,3402.0,0.0,0.0,0.0,0.0,20116.666666666668,5280.0,3447.222222222222,2003.0,63180.55555555556,-71657.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2022-08-20 ,5631349.66394043,4100.0,1921.0,13600.0,3957.0,0.0,0.0,0.0,0.0,15300.0,4770.0,18180.555555555555,8399.0,42783.194444444445,-75662.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2022-08-21 ,6203915.621032715,4100.0,1921.0,15134.722222222223,5089.5,0.0,0.0,0.0,0.0,20966.666666666668,6752.0,34000.0,10074.0,31500.0,-78811.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2022-08-22 ,9397272.118408203,4100.0,1921.0,20400.0,5647.0,0.0,0.0,768.75,315.0,21816.666666666668,6842.0,39241.66666666667,11499.0,22008.333333333332,-81350.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2022-08-23 ,10099672.467529297,4100.0,1921.0,18700.0,5467.0,0.0,0.0,4100.0,900.0,20966.666666666668,5726.0,40800.0,11664.0,33041.666666666664,-78222.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2022-08-24 ,9391809.11743164,4100.0,1921.0,13600.0,3416.0,0.0,0.0,4100.0,900.0,27200.0,6386.0,36833.333333333336,11244.0,44066.666666666664,-76069.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2022-08-25 ,7328520.048065186,1231.9444444444446,2290.0,13600.0,3416.0,0.0,0.0,4100.0,900.0,16433.333333333332,5246.0,16433.333333333332,6542.0,54241.66666666667,-74148.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2022-08-26 ,8084029.154052734,6800.0,1619.0,11786.666666666666,3224.0,0.0,0.0,4100.0,900.0,11361.666666666666,2967.0,18275.0,5360.0,58900.0,-73758.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2022-08-27 ,8623275.76538086,6800.0,1619.0,6800.0,1726.0,5666.666666666667,1987.0,1850.6944444444446,505.0,6800.0,1443.0,18700.0,5405.0,69798.19444444444,-70847.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2022-08-28 ,8607959.793457031,6800.0,1619.0,6800.0,1726.0,6800.0,2107.0,0.0,0.0,9916.666666666666,3594.0,13600.0,3995.0,71406.94444444444,-70113.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2022-08-29 ,9973136.837402344,4816.666666666667,1409.0,11191.666666666668,3913.0,6800.0,2107.0,0.0,0.0,19366.666666666668,7366.0,13600.0,3995.0,67783.33333333333,-71209.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2022-08-30 ,8692998.707397461,0.0,0.0,20400.0,4888.0,6516.666666666667,2077.0,0.0,0.0,19800.0,7486.0,16291.666666666668,5201.0,66425.0,-72402.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2022-08-31 ,9234658.219604492,0.0,0.0,20400.0,4888.0,0.0,0.0,425.0,2702.0,17991.666666666668,7066.0,13600.0,3999.0,67990.27777777778,-70801.5,0.0,0.0,0.0,0.0,0.0,0.0
24,2022-09-01 ,6897056.883911133,0.0,0.0,14733.333333333334,4288.0,0.0,0.0,6800.0,3377.0,10766.666666666668,3684.0,13600.0,3999.0,70008.33333333334,-68398.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2022-09-02 ,6893147.941772461,0.0,0.0,6800.0,1726.0,0.0,0.0,6800.0,3377.0,13741.666666666666,342998.0,13741.666666666668,5040.0,52891.66666666667,-73421.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2022-09-03 ,7315617.760864258,0.0,0.0,10483.333333333332,3135.0,0.0,0.0,6800.0,3377.0,20400.0,343703.0,18322.222222222223,5525.0,55300.0,-73166.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2022-09-04 ,8284090.6123046875,0.0,0.0,13600.0,3465.0,0.0,0.0,1227.7777777777778,2787.0,20400.0,343703.0,13600.0,4104.0,61954.72222222222,-69557.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2022-09-05 ,6824956.799926758,0.0,0.0,13600.0,3465.0,0.0,0.0,0.0,0.0,20400.0,343703.0,13600.0,4104.0,67888.88888888888,-68097.5,0.0,0.0,0.0,0.0,0.0,0.0
29,2022-09-06 ,6807058.307983398,0.0,0.0,17566.666666666668,4931.0,0.0,0.0,0.0,0.0,19833.333333333332,345155.0,12466.666666666666,5181.0,70716.66666666667,-69976.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2022-09-07 ,9623614.447509766,0.0,0.0,20400.0,5231.0,0.0,0.0,0.0,0.0,13600.0,3675.0,13600.0,4275.0,69300.0,-71755.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2022-09-08 ,7148942.389282227,0.0,0.0,13883.333333333332,4541.0,0.0,0.0,0.0,0.0,18133.333333333332,5905.0,13600.0,4275.0,80655.55555555555,-68591.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2022-09-09 ,7810079.609128147,0.0,0.0,15866.666666666668,5077.0,0.0,0.0,0.0,0.0,26916.666666666668,6835.0,13600.0,4275.0,64416.66666666667,-70051.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2022-09-10 ,6464079.412536621,0.0,0.0,18983.333333333332,4966.0,0.0,0.0,0.0,0.0,20400.0,4633.0,13009.722222222223,4212.5,49600.0,-75597.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2022-09-11 ,6820916.771728516,0.0,0.0,27105.555555555555,6917.0,0.0,0.0,0.0,0.0,20400.0,4633.0,6800.0,2358.0,49802.777777777774,-75263.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2022-09-12 ,6784813.097167969,0.0,0.0,27200.0,6927.0,0.0,0.0,0.0,0.0,20400.0,4633.0,6800.0,2358.0,59783.75,-72613.5,0.0,0.0,0.0,0.0,0.0,0.0
36,2022-09-13 ,8015270.342529297,0.0,0.0,33244.444444444445,8536.0,0.0,0.0,283.3333333333333,1298.0,11130.277777777777,3651.5,6800.0,2358.0,53516.66666666667,11268.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2022-09-14 ,8178484.885498047,3587.5,1739.0,21675.0,7311.0,7308.333333333333,2416.0,6800.0,1988.0,6800.0,1443.0,6800.0,2358.0,51380.555555555555,12164.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2022-09-15 ,8131116.393798828,4100.0,1829.0,13883.333333333334,4050.0,9000.0,2656.0,6800.0,1988.0,6800.0,1443.0,6800.0,2358.0,63395.27777777778,15561.5,0.0,0.0,0.0,0.0,0.0,0.0
39,2022-09-16 ,8713047.51928711,4100.0,1829.0,13600.0,3415.0,9000.0,2656.0,6800.0,1988.0,6800.0,1443.0,6800.0,2358.0,65028.61111111111,14683.5,0.0,0.0,0.0,0.0,0.0,0.0
40,2022-09-17 ,5202745.90536499,1708.3333333333335,1409.0,9633.333333333334,2995.0,3750.0,1816.0,3241.666666666667,2779.0,6800.0,1443.0,8557.638888888889,964.0,53783.33333333333,59071.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2022-09-18 ,6848685.738037109,0.0,0.0,10129.166666666666,3256.5,0.0,0.0,2100.0,1791.0,6800.0,1443.0,22704.166666666664,10523907.5,45218.055555555555,55342.5,0.0,0.0,0.0,0.0,0.0,0.0
42,2022-09-19 ,8533418.61315918,0.0,0.0,13600.0,3624.0,0.0,0.0,2100.0,1791.0,6800.0,1443.0,29055.555555555555,10525915.0,48613.88888888889,10574726.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2022-09-20 ,8481367.739501953,0.0,0.0,14733.333333333332,4729.0,0.0,0.0,2100.0,1791.0,6800.0,1443.0,41283.33333333333,10528528.0,35531.25,10572307.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2022-09-21 ,10160069.185180664,0.0,0.0,18841.666666666668,5164.0,0.0,0.0,1995.0,1755.0,6800.0,1443.0,48338.333333333336,10532389.0,26631.25,10569583.5,0.0,0.0,0.0,0.0,0.0,0.0
45,2022-09-22 ,12129357.402832031,0.0,0.0,13600.0,3431.0,0.0,0.0,0.0,0.0,6800.0,1443.0,43700.27777777778,13122.5,36086.11111111111,10525550.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2022-09-23 ,7348286.409606934,0.0,0.0,13600.0,3431.0,0.0,0.0,0.0,0.0,6800.0,1443.0,41183.33333333333,11871.0,36700.0,10525615.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2022-09-24 ,5798211.337158203,0.0,0.0,13600.0,3431.0,0.0,0.0,0.0,0.0,6941.666666666667,2233.0,35800.0,9966.0,42225.0,10527975.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2022-09-25 ,6519464.801147461,0.0,0.0,13600.0,3431.0,0.0,0.0,0.0,0.0,18700.0,4236.0,30125.0,10906.0,43491.666666666664,10528260.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2022-09-26 ,8324260.137817383,0.0,0.0,13950.0,4250.0,0.0,0.0,2266.6666666666665,1013.0,20400.0,4416.0,21816.666666666668,6425.0,41700.0,8001.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2022-09-27 ,10504404.699951172,0.0,0.0,15400.0,3355.0,0.0,0.0,6800.0,1493.0,20400.0,4416.0,20400.0,5188.0,40063.88888888889,10290.5,0.0,0.0,0.0,0.0,0.0,0.0
51,2022-09-28 ,10181276.756347656,2220.833333333333,416.0,15400.0,3355.0,0.0,0.0,6800.0,1493.0,20192.222222222223,4394.0,20400.0,5188.0,46057.5,10927.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2022-09-29 ,8335826.470581055,4100.0,746.0,19933.333333333332,5822.0,0.0,0.0,6800.0,1493.0,19068.333333333332,4770.0,16532.5,3973.5,40150.0,8672.0,0.0,0.0,0.0,0.0,0.0,0.0
